var,probability
src_0,0.5159390526051897
src_1,0.9990848891627966
src_2,0.7618633490553482
src_3,0.8802307501707668
src_4,0.9041108086972374
src_5,0.6172007349127637
src_6,0.6229449424585394
src_7,0.9310128778908122
src_8,0.8804883304651159
src_9,0.757769690091779
src_10,0.6631687673227089
src_11,0.5012110882130771
src_12,0.8815342507277123
src_13,0.9830953940394501
src_14,0.7433054122320735
src_15,0.7297256975390374
src_16,0.9600054667532639
src_17,0.6841497915218351
src_18,0.8995846118371947
src_19,0.7288452723372667
src_20,0.5639272064085523
src_21,0.6317236259010477
