var,probability
src_0,0.5343271957221359
src_1,0.5468758198620907
src_2,0.6379351690372702
src_3,0.550793067183752
src_4,0.8815882428533972
src_5,0.7839881139071826
src_6,0.5952038295023654
src_7,0.8259050573639515
src_8,0.5995173231841932
src_9,0.7077189995836519
src_10,0.6009804196332014
src_11,0.7229654873298457
src_12,0.7317598227196518
src_13,0.640454860283461
src_14,0.9617600179880923
src_15,0.8116035409035295
src_16,0.840891767881415
src_17,0.9346909268632654
src_18,0.7022630948009394
src_19,0.5851751383896358
